Filename,5800x_l.tif,5800x_l.tif,9700c.tif,9700d.tif,9700x.tif,9700x.tif,9700xh.tif,9700xh.tif,9700x_r.tif,13500x_n.tif,24500xj.tif,CM100-5.tif
C172,193.692,225.451,107.896,142.522,128.939,103.804,235.844,80.402,147.822,239.685,174.841,78.170
C173,193.638,225.118,110.868,144.451,129.731,101.181,237.033,80.503,148.051,242.714,175.005,78.273
C174,193.583,224.785,113.840,146.380,130.523,98.559,236.178,80.604,148.281,245.744,175.170,78.376
C175,193.528,224.452,116.812,148.309,131.314,95.936,235.323,80.705,148.511,248.773,175.335,78.479
C176,193.474,224.119,119.784,150.237,132.106,93.313,234.468,80.648,148.740,251.803,175.500,78.583
C177,193.419,223.786,122.755,152.166,132.898,90.690,233.613,80.503,148.970,254.833,175.664,78.940
C178,193.364,223.453,125.727,154.095,133.689,88.067,232.758,80.358,149.200,257.862,175.829,79.304
C179,193.310,223.120,128.079,156.024,134.481,85.444,231.902,80.214,149.430,260.892,175.994,79.668
C180,193.255,222.787,128.132,157.952,135.273,82.821,231.047,80.069,149.659,263.921,176.159,80.032
C181,193.201,222.454,128.185,159.881,136.065,80.199,230.192,79.925,149.889,266.951,176.323,80.396
C182,193.146,222.121,128.237,162.033,136.856,77.576,229.337,79.780,150.119,269.980,176.488,80.760
C183,193.091,221.788,128.290,164.201,137.648,74.953,228.482,79.635,150.348,272.162,176.653,81.124
C184,193.037,221.455,128.343,165.403,138.440,72.330,227.627,79.491,150.578,272.293,176.818,81.488
C185,192.982,221.122,128.396,164.047,139.231,69.707,226.772,79.346,150.808,272.424,176.982,81.852
C186,192.928,220.789,128.449,162.692,140.023,67.084,225.917,79.202,151.037,272.555,177.147,82.216
C187,192.873,220.456,128.502,161.337,140.815,64.585,225.062,79.057,151.267,272.686,177.312,82.580
C188,192.818,220.123,128.555,159.982,141.606,62.308,224.207,78.913,151.497,272.817,177.477,82.945
C189,192.764,219.790,128.608,158.626,142.398,60.030,223.352,78.768,151.727,272.948,177.641,83.309
C190,192.709,219.457,128.661,157.271,143.190,57.752,222.497,78.623,151.956,273.079,177.806,83.673
C191,192.655,219.124,128.714,155.916,143.982,55.539,221.642,78.479,152.186,273.210,177.971,84.037
C192,192.600,218.791,128.766,154.561,144.773,56.215,220.786,78.334,152.416,273.341,178.136,84.401
C193,192.545,218.458,128.819,153.206,145.565,56.890,219.931,78.190,152.645,273.472,178.300,84.765
C194,192.491,218.125,128.872,151.850,146.357,57.566,219.076,78.045,152.875,273.603,178.465,85.129
C195,191.767,217.792,128.925,150.495,147.148,58.242,218.221,77.901,153.105,273.734,178.630,85.493
C196,189.976,217.459,128.978,149.140,147.940,58.918,217.366,77.756,153.335,273.865,178.795,85.857
C197,188.184,217.126,129.031,147.785,148.732,59.594,216.511,77.611,153.564,273.996,178.959,86.221
C198,186.393,216.793,129.084,146.430,149.524,60.270,215.656,77.467,153.794,274.127,179.124,86.585
C199,184.602,216.460,129.137,145.074,150.315,60.946,214.801,77.322,154.024,274.258,179.289,86.950
C200,182.811,216.127,129.190,143.719,151.107,61.621,213.946,77.178,154.253,274.389,179.454,87.314
C201,181.020,215.794,128.819,142.364,151.899,62.297,213.091,77.033,154.483,274.520,179.618,87.678
C202,179.229,215.461,128.111,141.009,152.690,62.973,212.236,76.888,154.713,274.651,179.783,88.042
C203,177.438,215.128,127.402,139.654,153.482,63.649,211.381,76.744,154.942,275.058,179.948,88.406
C204,175.647,214.795,126.693,138.298,154.274,64.325,210.526,76.599,155.172,275.471,180.113,88.770
C205,173.855,214.462,125.984,136.943,155.066,65.001,209.670,76.455,155.402,275.885,180.277,89.134
C206,172.064,214.129,125.275,135.588,155.857,65.677,208.815,76.310,155.632,275.146,180.442,89.498
C207,170.273,213.796,124.566,134.233,156.649,66.352,207.960,76.166,155.861,273.433,180.607,89.862
C208,168.482,213.463,123.857,132.878,157.441,67.028,207.105,76.021,156.091,271.720,180.772,90.226
C209,166.691,213.130,123.149,131.522,158.232,67.704,206.250,75.876,156.321,270.006,180.205,90.590
C210,164.900,214.295,122.440,130.167,159.024,68.380,205.395,75.732,156.550,268.293,179.604,90.955
C211,163.109,215.655,121.731,128.812,159.816,69.056,204.540,75.587,156.780,266.579,179.004,91.319
C212,161.318,217.015,121.022,127.457,160.607,69.732,203.685,75.443,157.010,264.866,178.404,91.683
C213,159.526,218.376,120.313,126.102,161.399,70.408,202.830,75.298,157.239,263.152,177.804,92.047
C214,157.735,219.736,119.604,124.746,162.191,71.084,201.975,75.154,157.469,261.439,177.204,92.411
C215,155.944,221.096,118.895,123.391,162.983,71.759,201.120,75.009,157.699,259.725,176.603,92.775
C216,154.153,222.457,118.186,122.036,162.549,72.435,200.508,74.864,157.929,258.012,176.003,93.139
C217,152.362,223.817,117.478,120.681,161.843,73.111,200.058,74.720,158.158,256.298,175.403,93.503
C218,150.571,225.055,116.769,119.581,161.137,73.787,199.609,74.889,158.388,254.585,174.803,93.867
C219,149.029,225.824,116.060,118.790,160.431,74.463,199.159,75.428,158.618,252.871,174.202,94.231
C220,148.385,226.593,115.351,117.999,159.725,75.139,198.709,75.966,158.847,251.158,173.602,94.595
C221,147.742,227.362,114.642,117.209,159.019,75.815,198.259,76.504,159.077,249.444,173.002,94.960
C222,147.099,228.131,113.933,116.418,158.721,76.490,197.810,77.042,159.187,247.731,172.402,95.324
C223,146.455,228.900,113.224,115.627,158.597,77.166,197.360,77.580,159.237,246.017,171.802,95.688
C224,145.812,229.669,112.516,114.836,158.472,77.842,196.910,78.119,159.287,244.304,171.201,96.052
C225,145.169,230.438,111.807,114.045,158.347,78.518,196.461,78.657,159.337,242.590,170.601,96.416
C226,144.526,231.207,111.098,113.254,158.223,79.194,196.011,79.195,159.387,240.877,170.001,96.780
C227,143.882,231.977,110.389,112.464,158.098,79.870,195.561,79.733,159.437,239.163,169.401,97.144
C228,143.239,232.746,109.680,111.673,157.973,79.786,195.297,80.896,159.487,237.450,168.800,97.514
C229,142.596,233.515,108.971,110.882,157.849,78.897,195.504,82.714,159.537,235.736,168.200,98.162
C230,141.952,234.284,108.262,110.091,157.724,78.008,195.712,84.532,159.587,234.023,167.600,98.810
C231,146.285,235.053,107.554,109.300,157.599,77.118,195.919,86.350,159.637,232.309,167.000,99.458
C232,150.686,235.822,106.845,108.510,157.475,76.229,196.126,88.169,159.687,230.596,166.400,100.106
C233,155.087,236.591,106.136,107.719,157.350,75.339,196.333,89.987,159.737,228.882,165.799,100.753
C234,159.489,237.360,105.427,106.928,157.225,74.450,196.540,91.805,159.787,227.169,165.199,101.401
C235,163.890,238.129,104.718,106.137,157.101,74.313,196.747,93.623,159.837,225.456,164.599,102.049
C236,168.291,238.898,104.009,105.346,156.976,74.190,196.954,95.442,159.887,223.061,163.999,102.697
C237,172.693,239.667,103.300,104.556,156.851,74.068,197.161,97.260,159.937,220.021,163.399,103.345
C238,177.094,240.437,102.591,103.765,156.727,73.946,197.369,99.078,159.987,216.980,162.798,103.993
C239,181.495,241.206,101.883,102.974,156.602,73.823,197.576,100.896,160.037,215.774,162.198,104.641
C240,185.897,241.975,101.174,102.183,156.477,73.701,197.783,102.715,160.087,214.660,161.598,105.289
C241,190.298,242.744,100.465,101.392,156.353,73.579,197.990,104.533,160.137,213.546,160.998,105.937
C242,194.699,243.513,99.756,100.602,156.228,73.456,198.197,106.351,160.187,212.431,160.397,106.215
C243,199.101,244.282,99.047,99.811,156.103,73.334,198.404,108.169,160.237,211.317,159.797,106.276
