Filename,9700x_s.tif,7400x_r.tif,7400x_r.tif,7400x_h.tif,74oox_g.tif
C393,71.258,139.387,0.000,48.973,38.584
C394,69.431,141.730,0.000,46.899,40.610
C395,67.604,144.073,0.000,44.826,42.636
C396,65.777,146.416,0.000,42.752,44.662
C397,63.950,148.529,0.000,40.679,46.688
C398,62.123,147.482,0.000,38.605,48.714
C399,60.296,146.435,0.000,36.531,50.740
C400,58.469,145.387,0.000,37.430,52.766
C401,56.642,144.340,0.000,39.623,54.792
C402,54.815,143.293,0.000,41.817,56.818
C403,52.988,142.246,0.000,44.011,58.844
C404,51.161,141.199,0.000,46.205,60.870
C405,49.334,140.152,0.000,48.398,62.896
C406,47.507,139.104,0.000,50.592,64.922
C407,45.680,138.057,0.000,52.786,66.948
C408,43.854,137.010,0.000,54.980,68.974
C409,42.027,135.963,0.000,57.173,71.000
C410,40.200,134.916,0.000,59.367,73.026
C411,38.373,133.869,0.000,61.561,77.252
C412,36.546,132.822,0.000,63.755,81.847
C413,34.719,131.774,0.000,65.949,86.442
C414,32.892,130.727,0.000,68.142,91.037
C415,31.065,129.680,0.000,70.336,95.632
C416,29.238,128.633,0.000,72.530,100.228
C417,27.411,127.586,0.000,74.724,104.823
C418,25.584,126.539,0.000,76.917,109.418
C419,23.757,125.180,0.000,79.111,114.013
C420,21.930,121.679,0.000,81.305,118.608
C421,20.103,118.178,0.000,83.499,123.203
C422,19.073,114.677,0.000,85.693,127.798
C423,20.177,111.176,0.000,87.886,132.393
C424,21.280,107.675,0.000,90.080,136.988
C425,22.384,104.749,0.000,92.274,141.583
C426,23.487,104.222,0.000,97.506,146.179
C427,24.591,103.694,0.000,103.047,150.774
C428,25.694,103.167,0.000,108.589,155.369
C429,26.798,102.640,0.000,114.131,159.964
C430,27.901,102.112,0.000,119.672,164.559
C431,29.005,101.585,0.000,125.214,169.154
C432,30.108,101.058,0.000,130.755,173.141
C433,31.212,100.530,0.000,136.297,174.358
C434,32.315,100.003,0.000,141.839,175.576
C435,33.419,99.476,0.000,147.380,176.793
C436,34.522,98.948,0.000,147.639,178.010
C437,35.626,98.421,0.000,146.795,179.228
C438,36.730,97.894,0.000,145.951,180.445
C439,37.833,97.366,0.000,145.107,181.663
C440,38.937,96.839,0.000,144.263,182.880
C441,40.040,96.312,0.000,143.419,184.098
C442,41.144,95.784,0.000,142.575,185.315
C443,42.247,95.257,0.000,141.731,186.532
C444,43.351,94.730,0.000,140.887,187.750
C445,44.454,94.202,0.000,140.043,188.967
C446,45.558,93.675,0.000,139.199,190.185
C447,45.797,93.148,0.000,138.355,191.402
C448,45.547,92.620,0.000,137.510,192.620
C449,45.297,92.093,0.000,136.666,193.837
C450,45.047,91.566,0.000,135.822,195.054
C451,44.797,91.038,0.000,134.978,196.272
