Filename,17500x_o.tif,17500x_b.tif,9700x_k.tif,9700x_h.tif,7400x_j.tif,7400x_i.tif,7400x_a.tif
C426,128.487,99.929,97.596,174.433,115.363,153.481,117.185
C427,128.006,99.715,97.887,172.406,114.991,153.115,118.078
C428,127.525,99.500,98.179,170.380,114.619,153.221,118.970
C429,127.044,99.285,98.471,168.353,114.246,154.175,119.862
C430,126.563,99.070,98.762,166.327,113.874,155.129,120.754
C431,126.081,98.856,99.054,164.300,113.502,156.082,121.646
C432,125.600,98.641,99.345,162.274,113.130,157.036,122.538
C433,125.119,98.426,99.637,160.247,112.758,157.990,123.430
C434,124.638,98.212,99.929,158.221,112.386,158.943,124.323
C435,124.157,97.997,100.220,156.194,112.014,159.897,125.215
C436,123.675,97.782,100.512,154.168,111.642,160.851,126.107
C437,123.194,97.567,100.804,152.141,111.269,161.804,126.999
C438,122.713,97.353,101.095,150.115,110.897,162.758,124.091
C439,122.232,97.138,101.387,148.088,110.525,163.712,121.054
C440,121.751,96.923,101.679,146.062,110.153,164.665,118.018
