Filename,74oox_ad.tif,74oox_ad.tif,74oox_ad.tif,74oox_ad.tif,5800x_y.tif,5800x_y.tif,7400x_ac.tif,7400x_ac.tif,7400x_ac.tif,7400x_g.tif,7400x_g.tif,7400x_g.tif,7400x_h.tif,7400x_h.tif,7400x_u.tif,7400x_u.tif,7400x_u.tif,7400x_v.tif,7400x_w.tif,7400x_w.tif,7400x_w.tif,9700x_m.tif,9700x_m.tif,9700x_n.tif,9700x_n.tif,9700x_s.tif,13500x_j.tif,13500x_j.tif,13500x_k.tif,13500x_m.tif,13500x_q.tif,17500x_o.tif,17500x_p.tif,33000x_l.tif
C57,67.828,186.943,85.437,432.906,151.146,346.494,197.366,171.680,217.392,42.322,97.456,100.837,525.814,200.466,61.175,7.211,96.578,70.883,105.711,90.672,105.055,37.976,76.959,14.841,40.636,112.893,71.679,33.979,85.885,112.042,64.061,33.812,28.905,59.024
C58,73.478,186.751,87.845,429.029,150.565,345.131,197.869,171.987,217.208,42.079,98.253,100.456,525.969,201.422,60.553,7.212,96.179,70.151,105.998,87.523,104.151,37.946,78.173,14.476,38.639,113.174,71.853,35.019,84.821,111.793,64.716,33.687,28.868,58.217
C59,79.129,186.559,90.254,425.152,149.984,343.768,198.371,172.294,217.024,41.836,99.050,100.075,526.125,202.378,59.932,7.692,95.781,69.419,102.921,82.544,103.248,37.916,79.388,14.111,36.641,112.720,72.027,36.060,83.758,111.544,65.370,33.562,28.832,57.409
C60,84.780,186.367,91.633,421.275,149.402,342.405,198.874,172.601,216.840,41.593,99.846,99.694,526.280,203.333,59.311,8.173,95.382,68.687,99.843,77.566,102.344,37.886,80.602,13.746,34.644,110.763,72.201,37.101,82.695,111.296,66.024,33.437,28.795,56.602
C61,90.430,186.176,92.358,417.693,148.821,341.042,199.376,172.907,216.655,41.351,100.643,99.313,526.435,204.289,58.689,8.654,94.984,67.955,96.766,72.587,101.441,37.856,81.816,13.382,32.647,108.807,72.374,38.141,81.631,111.047,65.591,33.311,28.758,55.795
C62,96.081,185.984,93.082,414.172,148.240,339.679,199.879,173.214,216.471,41.108,101.439,98.932,526.591,205.245,58.068,9.135,94.585,67.222,93.688,67.609,100.537,37.826,83.031,13.017,30.649,106.850,72.548,39.182,80.568,110.781,64.947,33.186,28.721,54.987
C63,101.732,185.792,93.806,410.652,147.659,338.316,200.381,173.521,216.287,40.865,102.236,98.551,526.746,206.200,57.447,9.616,94.187,66.490,94.620,66.578,99.634,37.796,84.245,12.652,28.652,104.893,72.722,40.222,79.505,110.513,64.302,33.061,28.685,54.180
C64,107.383,185.600,94.530,407.131,147.255,336.953,200.884,173.828,216.103,40.622,103.033,98.170,526.901,207.156,56.825,10.096,93.788,65.758,95.685,67.288,98.731,37.766,85.459,12.288,26.654,102.937,72.896,41.263,78.441,110.245,63.657,32.936,28.648,53.372
C65,113.033,185.409,95.254,403.611,147.067,335.590,201.386,174.134,215.918,40.379,103.829,97.789,527.057,208.112,56.204,11.244,93.390,65.026,96.750,67.997,97.827,37.736,86.673,11.923,24.657,100.980,73.070,42.303,77.378,109.978,63.012,32.810,28.611,52.565
C66,118.684,185.217,95.978,400.090,146.880,334.227,201.889,174.441,215.734,40.136,104.626,97.408,527.212,209.068,55.583,13.544,92.991,64.294,97.814,68.707,96.924,37.706,87.888,11.558,22.660,99.023,73.244,43.344,76.315,109.710,62.368,32.685,28.574,51.758
