Filename,17500x_e.tif,9700x_d.tif,9700x_d.tif,7400x_g.tif,7400x_f.tif,7400x_b.tif,7400x_a.tif
C233,56.530,36.907,66.756,84.457,72.351,63.364,62.851
C234,55.091,37.693,67.747,83.042,73.262,63.132,63.374
C235,53.652,38.479,68.738,81.626,74.173,62.899,63.896
C236,52.212,39.265,69.729,80.211,75.083,62.667,64.419
C237,50.773,40.050,70.720,78.795,75.994,62.435,64.942
C238,49.334,40.836,71.711,77.380,76.905,62.202,65.464
C239,47.895,41.622,72.702,75.964,77.816,61.970,67.423
C240,46.456,42.408,72.715,74.549,78.727,61.738,70.603
C241,45.017,43.193,72.249,73.133,79.637,61.505,73.782
C242,43.578,43.979,71.784,71.718,80.548,61.273,76.962
C243,42.139,44.765,71.319,70.302,81.459,61.041,80.141
C244,40.700,45.551,70.853,68.887,82.370,60.809,83.321
C245,39.260,46.336,70.388,67.471,83.281,60.576,86.500
C246,37.821,47.030,69.922,66.056,84.191,60.344,88.551
C247,36.382,47.154,69.457,64.640,85.102,59.799,89.793
C248,34.943,47.278,68.992,63.225,86.013,58.226,91.036
C249,33.504,47.402,68.526,61.809,86.924,56.653,92.279
C250,32.065,47.526,68.061,60.394,87.835,55.080,93.522
C251,32.104,47.650,67.595,58.978,88.745,53.507,94.765
C252,32.522,47.774,67.130,57.563,89.656,51.935,96.007
C253,32.940,47.897,66.665,56.147,90.567,50.362,97.250
C254,33.359,48.021,66.199,54.732,90.623,48.789,98.493
C255,33.777,48.145,65.734,53.316,89.307,47.319,99.736
C256,34.195,48.269,65.268,51.901,87.992,48.408,100.979
C257,34.614,48.393,64.803,50.485,86.677,49.496,102.221
C258,35.032,48.517,64.338,49.069,85.362,50.585,103.464
C259,35.450,48.641,63.872,47.654,84.046,51.673,104.707
C260,35.869,48.765,63.407,47.493,82.731,52.762,105.950
C261,36.287,48.889,62.941,47.807,81.416,53.851,107.193
C262,36.705,49.013,62.476,48.122,80.101,54.939,108.435
C263,37.124,49.136,62.011,48.437,78.785,56.028,109.678
C264,37.542,49.260,61.545,48.751,77.470,57.116,110.921
C265,37.960,49.384,61.080,49.066,76.155,58.205,112.164
C266,38.379,49.508,60.615,49.381,74.840,59.294,113.407
C267,38.797,49.632,63.975,49.696,73.524,60.382,114.650
C268,39.215,49.756,68.987,50.010,72.209,61.471,115.892
C269,39.634,49.880,73.999,50.325,70.894,62.559,117.135
C270,40.052,50.004,79.012,50.640,69.579,63.648,118.378
C271,40.470,50.128,84.024,50.954,68.263,64.736,119.621
C272,40.889,50.252,89.037,51.269,66.948,65.825,120.864
C273,41.307,50.375,94.049,51.584,65.633,66.914,122.106
C274,41.725,50.499,98.960,51.899,64.318,68.002,123.349
C275,42.144,50.623,98.932,52.213,63.002,69.091,124.592
C276,42.562,50.747,98.903,52.528,61.687,70.179,124.058
C277,42.980,50.871,98.875,52.843,60.372,71.268,122.644
C278,43.399,50.995,98.847,53.158,59.057,72.357,121.230
C279,43.817,51.119,98.819,53.472,57.741,73.445,119.816
C280,44.235,51.243,98.790,53.787,56.426,74.534,118.401
C281,44.654,51.367,98.762,54.102,55.111,75.622,116.987
C282,45.072,51.491,98.734,54.416,53.796,76.711,115.573
C283,45.490,51.614,98.705,54.731,52.480,77.800,114.159
C284,45.909,51.738,98.677,55.046,51.165,78.888,112.745
C285,46.327,51.862,98.649,55.361,49.850,79.977,111.331
C286,46.745,51.986,98.620,55.675,48.535,81.065,109.917
C287,47.164,52.110,98.592,55.990,47.219,82.154,108.503
C288,47.582,52.234,98.564,56.305,45.904,83.243,107.089
C289,48.000,52.358,98.536,56.620,44.589,84.331,105.675
C290,48.419,52.482,98.507,56.934,43.273,85.420,104.261
C291,48.837,52.606,98.479,57.249,41.958,86.508,102.847
C292,49.255,52.730,98.451,57.564,40.643,87.826,101.433
C293,49.674,52.853,97.175,57.878,39.437,89.441,100.019
C294,50.092,52.977,94.124,58.193,39.765,91.057,98.605
C295,50.510,53.101,91.073,58.508,40.092,92.672,97.191
C296,50.929,53.225,88.023,58.823,40.420,94.288,95.777
C297,51.347,53.349,84.972,59.137,40.748,95.903,94.363
C298,51.765,53.513,81.921,59.452,41.075,97.519,92.949
C299,52.073,55.287,78.870,59.767,41.403,99.134,91.535
C300,52.014,57.060,75.819,60.081,41.731,100.750,90.121
C301,51.956,58.833,72.768,60.396,42.058,102.365,88.707
C302,51.897,60.607,69.717,60.711,42.386,103.981,87.292
C303,51.838,62.380,66.666,61.026,42.714,105.531,85.878
C304,51.780,64.153,66.269,61.340,43.041,105.819,84.464
C305,51.721,65.325,65.987,61.655,43.369,106.106,83.050
C306,51.662,65.448,65.705,61.970,43.697,106.394,81.636
C307,51.604,65.571,65.423,62.285,44.024,106.681,80.222
C308,51.545,65.694,65.141,62.599,44.352,106.969,79.236
C309,51.486,65.816,64.859,62.914,44.680,107.256,79.300
C310,51.428,65.939,64.577,62.867,45.007,107.544,79.365
C311,51.369,66.062,64.295,61.521,45.335,107.831,79.429
C312,51.310,66.185,64.013,60.175,45.663,108.119,79.494
C313,51.252,66.307,63.731,58.829,45.990,108.406,79.558
C314,51.193,66.430,63.449,57.483,46.318,108.694,79.623
C315,51.135,66.553,63.167,56.137,46.646,108.981,79.687
C316,51.076,66.675,62.885,54.791,46.973,109.269,79.752
C317,51.017,66.798,62.603,53.445,47.301,109.556,79.816
C318,50.959,66.921,62.321,52.099,47.629,109.844,79.881
C319,50.900,67.044,62.039,50.753,47.956,110.131,79.945
C320,50.841,67.166,61.757,49.407,48.284,110.419,80.010
C321,50.783,67.289,61.475,48.061,48.612,110.706,80.074
C322,50.724,67.412,61.193,46.715,48.939,110.994,80.139
C323,50.665,67.535,60.911,45.369,49.267,111.282,80.203
C324,50.607,67.657,60.629,44.023,49.595,111.569,80.268
C325,50.548,67.780,60.347,42.677,49.922,111.857,80.332
C326,50.489,67.903,60.065,41.331,50.250,112.144,80.397
C327,50.431,68.025,59.783,39.986,50.578,112.432,80.461
C328,50.372,68.148,59.501,38.640,50.905,112.719,80.526
C329,50.314,68.271,59.219,37.294,51.233,113.007,80.590
C330,50.255,68.394,58.938,35.948,51.561,113.294,80.655
C331,50.196,68.516,58.656,34.602,51.888,113.582,80.719
C332,50.138,68.639,58.374,33.256,52.216,113.869,80.784
C333,50.079,68.762,58.092,31.910,52.544,114.157,80.848
C334,50.020,68.885,57.810,30.564,52.871,114.444,80.913
C335,49.962,69.007,57.528,29.218,53.199,114.732,80.977
C336,49.903,69.130,57.246,27.872,53.527,115.019,81.042
C337,49.844,69.253,56.964,26.526,53.854,115.307,81.107
C338,49.786,69.375,56.682,25.180,54.182,115.594,81.171
C339,49.727,69.498,56.400,23.834,54.510,115.882,81.236
C340,49.668,69.621,56.118,22.488,54.837,116.169,81.300
C341,49.610,69.744,55.836,21.142,55.268,116.457,81.365
C342,49.551,69.866,55.554,20.755,56.601,116.744,81.429
C343,49.493,69.989,55.272,20.510,57.934,117.032,81.494
C344,49.434,70.112,54.990,20.265,59.268,117.319,81.558
C345,49.375,70.235,54.708,20.019,60.601,117.607,81.623
C346,49.317,70.357,54.426,19.774,61.934,117.894,81.687
C347,49.258,70.480,54.144,19.529,63.267,118.182,81.752
C348,49.199,70.603,53.862,19.284,64.600,118.469,81.816
C349,49.141,70.725,53.580,19.038,65.933,118.757,81.881
C350,49.082,70.825,53.298,18.793,67.266,119.044,81.945
C351,49.023,69.712,53.016,18.548,68.600,119.332,82.010
C352,48.965,68.599,52.734,18.303,69.933,119.619,82.074
C353,48.906,67.487,52.452,18.057,71.266,119.907,82.139
C354,48.847,66.374,52.170,17.812,72.599,120.194,82.203
C355,48.789,65.261,51.888,17.567,73.932,120.482,82.268
C356,48.730,64.149,51.606,17.322,75.265,120.769,82.332
C357,48.672,63.036,51.324,17.387,76.598,121.057,82.397
C358,48.613,61.923,51.042,20.141,77.932,121.344,82.461
C359,48.554,60.811,50.761,22.895,79.265,119.302,82.526
C360,48.678,59.698,50.479,25.649,80.598,115.310,82.590
C361,48.978,58.585,50.197,28.403,81.931,111.318,82.655
C362,49.279,57.473,49.915,31.157,83.264,107.327,82.719
